0	748
1	665
2	584
3	537
4	518
5	513
6	516
7	521
8	523
9	525
10	529
11	532
12	533
13	533
14	534
15	535
16	536
17	536
18	537
19	538
20	538
21	538
22	538
23	540
24	538
25	540
26	540
27	540
28	538
29	538
30	538
31	540
32	540
33	540
34	540
35	540
36	541
37	541
38	541
39	541
40	541
41	541
42	542
43	542
44	544
45	543
46	544
47	545
48	545
49	545
50	546
51	548
52	549
53	550
54	552
55	553
56	554
57	556
58	558
59	560
60	561
61	561
62	562
63	565
64	566
65	566
66	569
67	571
68	572
69	572
70	571
71	570
72	568
73	566
74	562
75	559
76	555
77	552
78	549
79	546
80	544
81	541
82	540
83	536
84	535
85	534
86	534
87	534
88	534
89	534
90	534
91	534
92	534
93	534
94	535
95	535
96	534
97	534
98	535
99	536
100	536
101	538
102	540
103	541
104	542
105	542
106	542
107	544
108	544
109	545
110	545
111	545
112	545
113	545
114	545
115	545
116	545
117	545
118	545
119	545
120	545
121	545
122	545
123	545
124	545
125	545
126	546
127	546
128	546
129	545
130	545
131	545
132	545
133	544
134	544
135	544
136	544
137	545
138	545
139	546
140	546
141	545
142	545
143	545
144	546
145	546
146	546
147	546
148	546
149	545
150	545
151	546
152	546
153	546
154	546
155	546
156	545
157	545
158	546
159	546
160	548
161	548
162	548
163	549
164	549
165	549
166	550
167	550
168	550
169	549
170	549
171	549
172	550
173	550
174	550
175	549
176	549
177	548
178	549
179	549
180	549
181	549
182	548
183	549
184	550
185	552
186	552
187	552
188	552
189	550
190	550
191	552
192	552
193	552
194	552
195	552
196	552
197	552
198	552
199	552
200	550
201	550
202	550
203	552
204	550
205	550
206	550
207	552
208	552
209	552
210	552
211	550
212	550
213	550
214	553
215	554
216	555
217	556
218	557
219	557
220	558
221	557
222	556
223	555
224	554
225	553
226	553
227	552
228	552
229	550
230	550
231	552
232	552
233	550
234	550
235	550
236	550
237	552
238	552
239	547
240	538
241	530
242	536
243	579
244	662
245	751
246	793
247	783
248	729
249	637
250	555
251	512
252	500
253	500
254	507
255	514
256	521
257	524
258	529
259	532
260	533
261	534
262	535
263	537
264	538
265	540
266	540
267	541
268	541
269	540
270	540
